prenom,nom,lien,id_club
Asher,Agbinone,https://www.transfermarkt.fr/asher-agbinone/profil/spieler/1047256,11
Ismaïla,Sarr,https://www.transfermarkt.fr/ismaila-sarr/profil/spieler/410225,11
Yéremy,Pino,https://www.transfermarkt.fr/yeremy-pino/profil/spieler/568157,11
Romain,Esse,https://www.transfermarkt.fr/romain-esse/profil/spieler/967319,11
Jean-Philippe,Mateta,https://www.transfermarkt.fr/jean-philippe-mateta/profil/spieler/420002,11
Eddie,Nketiah,https://www.transfermarkt.fr/eddie-nketiah/profil/spieler/340324,11
Christantus,Uche,https://www.transfermarkt.fr/christantus-uche/profil/spieler/1124005,11
Zach,Marsh,https://www.transfermarkt.fr/zach-marsh/profil/spieler/1004679,11
Djordje,Petrovic,https://www.transfermarkt.fr/djordje-petrovic/profil/spieler/465555,12
Will,Dennis,https://www.transfermarkt.fr/will-dennis/profil/spieler/582078,12
Bafodé,Diakité,https://www.transfermarkt.fr/bafode-diakite/profil/spieler/463605,12
Marcos,Senesi,https://www.transfermarkt.fr/marcos-senesi/profil/spieler/469781,12
Veljko,Milosavljevic,https://www.transfermarkt.fr/veljko-milosavljevic/profil/spieler/989112,12
James,Hill,https://www.transfermarkt.fr/james-hill/profil/spieler/611793,12
Matai,Akinmboni,https://www.transfermarkt.fr/matai-akinmboni/profil/spieler/994604,12
Adrien,Truffert,https://www.transfermarkt.fr/adrien-truffert/profil/spieler/654539,12
Julio,Soler,https://www.transfermarkt.fr/julio-soler/profil/spieler/1009658,12
Álex,Jiménez,https://www.transfermarkt.fr/alex-jimenez/profil/spieler/741257,12
Julián,Araujo,https://www.transfermarkt.fr/julian-araujo/profil/spieler/513970,12
Adam,Smith,https://www.transfermarkt.fr/adam-smith/profil/spieler/61841,12
Tyler,Adams,https://www.transfermarkt.fr/tyler-adams/profil/spieler/332705,12
Alex,Scott,https://www.transfermarkt.fr/alex-scott/profil/spieler/855256,12
Lewis,Cook,https://www.transfermarkt.fr/lewis-cook/profil/spieler/249089,12
Ryan,Christie,https://www.transfermarkt.fr/ryan-christie/profil/spieler/188077,12
Marcus,Tavernier,https://www.transfermarkt.fr/marcus-tavernier/profil/spieler/399434,12
Justin,Kluivert,https://www.transfermarkt.fr/justin-kluivert/profil/spieler/330659,12
